oid,owner,short_name,description
1.2.840.113635.100.4.1.1,Apple,apple-code-signing-development,
1.2.840.113635.100.4.1.2,Apple,apple-software-update-signing,
1.2.840.113635.100.4.1.3,Apple,apple-code-signing-third-party,
1.2.840.113635.100.4.1.4,Apple,apple-resource-signing,
1.2.840.113635.100.4.1,Apple,apple-code-signing,
1.2.840.113635.100.4.2,Apple,apple-ichat-signing,
1.2.840.113635.100.4.3,Apple,apple-ichat-encryption,
1.2.840.113635.100.4.4,Apple,apple-system-identity,
1.2.840.113635.100.4.5.1,Apple,apple-crypto-production-env,
1.2.840.113635.100.4.5.2,Apple,apple-crypto-maintenance-env,
1.2.840.113635.100.4.5.3,Apple,apple-crypto-test-env,
1.2.840.113635.100.4.5.4,Apple,apple-crypto-development-env,
1.2.840.113635.100.4.5,Apple,apple-crypto-env,
1.2.840.113635.100.4.6.1,Apple,apple-crypto-tier0-qos,
1.2.840.113635.100.4.6.2,Apple,apple-crypto-tier1-qos,
1.2.840.113635.100.4.6.3,Apple,apple-crypto-tier2-qos,
1.2.840.113635.100.4.6.4,Apple,apple-crypto-tier3-qos,
1.2.840.113635.100.4.6,Apple,apple-crypto-qos,
1.3.6.1.4.1.311.10.3.10,Microsoft,microsoft-qualified-subordinate,
1.3.6.1.4.1.311.10.3.11,Microsoft,microsoft-key-recovery-3,
1.3.6.1.4.1.311.10.3.12,Microsoft,microsoft-document-signing,
1.3.6.1.4.1.311.10.3.13,Microsoft,microsoft-lifetime-signing,
1.3.6.1.4.1.311.10.3.14,Microsoft,microsoft-mobile-device-software,
1.3.6.1.4.1.311.10.3.15,Microsoft,microsoft-smart-display,
1.3.6.1.4.1.311.10.3.16,Microsoft,microsoft-csp-signature,
1.3.6.1.4.1.311.10.3.1,Microsoft,microsoft-cert-trust-list-signing,
1.3.6.1.4.1.311.10.3.2,Microsoft,microsoft-timestamp-signing,
1.3.6.1.4.1.311.10.3.3.1,Microsoft,microsoft-sgc-serialized,
1.3.6.1.4.1.311.10.3.3,Microsoft,microsoft-server-gated-crypto,
1.3.6.1.4.1.311.10.3.4.1,Microsoft,microsoft-efs-recovery,
1.3.6.1.4.1.311.10.3.4,Microsoft,microsoft-encrypted-file-system,
1.3.6.1.4.1.311.10.3.5,Microsoft,microsoft-whql-crypto,
1.3.6.1.4.1.311.10.3.6,Microsoft,microsoft-nt5-crypto,
1.3.6.1.4.1.311.10.3.7,Microsoft,microsoft-oem-whql-crypto,
1.3.6.1.4.1.311.10.3.8,Microsoft,microsoft-embedded-nt-crypto,
1.3.6.1.4.1.311.10.3.9,Microsoft,microsoft-root-list-signer,
1.3.6.1.4.1.311.10.5.1,Microsoft,microsoft-drm,
1.3.6.1.4.1.311.10.5.2,Microsoft,microsoft-drm-individualization,
1.3.6.1.4.1.311.10.5.3,Microsoft,microsoft-licenses,
1.3.6.1.4.1.311.10.5.4,Microsoft,microsoft-license-server,
1.3.6.1.4.1.311.20.2.1,Microsoft,microsoft-enrollment-agent,
1.3.6.1.4.1.311.20.2.2,Microsoft,microsoft-smartcard-logon,
1.3.6.1.4.1.311.21.5,Microsoft,microsoft-ca-exchange,
1.3.6.1.4.1.311.21.6,Microsoft,microsoft-key-recovery-21,
1.3.6.1.4.1.311.47.1.1,Microsoft,microsoft-system-health,
1.3.6.1.4.1.311.47.1.3,Microsoft,microsoft-system-health-loophole,
1.3.6.1.4.1.311.61.1.1,Microsoft,microsoft-kernel-mode-code-signing,
1.3.6.1.5.5.7.3.10,,dvcs,
1.3.6.1.5.5.7.3.11,,sbgp-cert-aa-service-auth,
1.3.6.1.5.5.7.3.13,,eap-over-ppp,
1.3.6.1.5.5.7.3.14,,eap-over-lan,
1.3.6.1.5.5.7.3.1,,server-auth,
1.3.6.1.5.5.7.3.2,,client-auth,
1.3.6.1.5.5.7.3.3,,code-signing,
1.3.6.1.5.5.7.3.4,,email-protection,
1.3.6.1.5.5.7.3.5,,ipsec-end-system,
1.3.6.1.5.5.7.3.6,,ipsec-tunnel,
1.3.6.1.5.5.7.3.7,,ipsec-user,
1.3.6.1.5.5.7.3.8,,time-stamping,
1.3.6.1.5.5.7.3.9,,ocsp-signing,
2.16.840.1.113730.4.1,Netscape,netscape-server-gated-crypto,
2.5.29.37.0,,any,
